2,104,4
2,105,5
2,106,4
12423,951,5
12423,1299,1
34216,1101,4
34216,677,5
35306,1303,5
44894,1106,4
50380,1362,3
50500,120,5
50786,1396,2
50786,1377,5
51796,676,2
53513,558,5
55636,1418,4
57394,468,5
58909,1362,3
58909,61,3
59452,821,1
67352,229,4
71399,821,1
75618,972,5
91424,86,1
92612,1108,3
92612,1107,4
96187,1867,4
98726,1377,5
98726,500,4
100510,1758,5
102768,16,5
103337,1304,5
105119,1303,2
105427,689,5
105427,690,5
106700,1486,5
107959,689,3
108886,359,4
111941,1394,4
112024,646,3
112024,1250,5
112401,1419,1
112401,81,5
112804,86,4
113795,1303,5
114215,691,5
120024,71,4
125156,101,5
125448,691,4
128032,1497,5
128032,1712,5
128032,1729,1
128421,1238,1
128769,1505,3
129737,72,5
129737,237,5
129737,72,5
130365,1551,1
132916,355,5
133830,1892,4
137242,1385,5
139367,345,2
140737,1246,3
142787,961,5
142787,962,5
144737,1706,5
144737,1327,5
144737,1327,5
145220,1586,4
145809,1290,2
151591,1853,1
153383,6,2
153383,78,5
153383,1392,3
154415,1253,1
156109,1368,5
159046,617,1
161707,122,5
161707,120,5
162169,1743,5
163553,86,2
164460,120,1
165471,1341,4
165571,102,5
165571,146,4
165571,817,5
165571,1304,4
165571,445,4
165571,213,5
165571,1505,3
165571,463,4
165571,359,2
165571,1590,5
166765,1107,4
166872,1505,4
169358,61,5
170897,1097,3
170897,3,4
170897,82,4
170897,5,5
171674,1268,4
171888,1586,2
174651,1486,5
174662,1784,5
174876,1415,4
174876,1416,5
174876,1709,1
176241,497,4
176268,886,5
176653,1613,4
178610,356,5
179301,5,5
180929,1671,3
182174,1388,1
182174,820,5
182174,1406,5
182174,618,5
182174,1388,1
182174,1585,5
183011,1587,5
184761,1642,3
184761,438,5
184761,102,5
184761,103,5
184761,689,4
185023,208,4
185023,660,3
186340,1417,5
186633,822,5
186633,224,3
187124,1302,3
187372,805,4
187372,949,2
187952,1365,5
189480,1299,5
189480,821,5
195056,1101,4
195861,1103,3
196050,623,4
196667,1486,5
198838,105,5
199073,1105,2
199073,1103,2
200106,1368,2
200106,439,5
203093,451,5
203375,1492,2
204762,357,5
204762,99,2
206533,451,4
207350,1298,1
208179,274,5
208179,1245,5
208179,318,5
208179,1496,5
208179,598,5
208179,1195,5
208179,275,5
209922,1304,5
211811,1098,5
211811,1098,5
213819,1097,2
213819,1261,2
214985,1360,5
215003,1414,2
215134,354,5
218484,1685,1
221245,809,3
221468,1100,5
222449,1286,2
222522,615,3
223809,1245,3
224361,84,5
224496,1303,3
225078,1252,3
225078,241,4
225278,84,4
225278,84,5
226104,1101,1
230303,83,3
231578,658,5
232155,1534,5
238059,1734,4
238552,950,5
239796,1107,2
239796,1486,4
241815,448,5
243300,78,2
243364,1214,4
244934,1247,5
245568,1213,4
245839,1098,5
246469,1083,2
246526,1419,1
248563,1106,5
249687,837,5
249687,836,5
249687,858,5
249896,690,4
253683,1607,1
254849,1102,2
256506,1496,5
257425,1268,5
259431,1417,5
261574,1252,4
261792,107,5
261792,1489,4
261792,1642,3
261994,425,5
261994,425,5
261994,420,5
261994,338,4
261994,307,4
261994,419,5
262487,1246,2
262617,822,5
262770,1326,4
262770,1710,4
264126,495,5
264126,495,5
264126,1408,5
264126,1415,5
264126,1247,4
265109,676,4
265530,1248,4
266941,1377,5
267795,273,5
267961,1300,3
267961,1106,1
269140,1097,2
269479,1303,4
269650,221,5
271539,434,4
271568,1687,4
272011,357,5
272143,1144,4
272143,953,5
272143,1107,5
272143,950,5
272143,1268,5
272143,1266,4
272143,1101,5
272143,1145,4
272143,1270,5
272143,949,5
272143,220,4
272143,221,4
272143,1289,4
272143,173,5
272143,805,5
272143,66,4
272143,1505,5
272143,1586,4
272143,1504,5
272143,357,3
272143,1609,5
272143,1786,5
273500,1362,4
273851,1492,5
273851,110,4
273851,1605,4
274195,79,5
276141,1411,1
278841,1101,2
278860,1856,5
279361,1269,3
280239,25,1
280517,949,2
280517,1415,4
280517,1415,4
280517,1415,4
280868,1362,4
284063,646,3
284063,327,1
284063,326,1
284975,1379,2
285219,1687,4
285238,1101,5
285248,1400,2
290389,1374,5
290845,644,3
293548,13,5
296624,1280,3
296624,1278,3
297077,1428,5
297512,1107,5
298224,1107,4
300486,1492,1
302490,1108,5
302815,1606,2
305750,1729,5
306293,240,5
306643,1744,5
306643,1746,5
308704,79,5
309925,1265,4
311785,1253,4
311899,1609,2
312940,176,2
312940,620,1
312940,229,3
312940,1247,2
312972,1710,2
313177,1609,4
313376,1687,5
313780,306,5
313780,675,5
315954,1407,4
317648,326,4
318991,103,5
319287,472,4
319287,75,3
319287,1850,3
320006,1104,4
320006,1245,2
320715,1213,4
320728,102,5
321634,381,5
323193,1097,4
323297,1336,4
323542,240,5
325311,1323,3
326203,951,1
326203,642,4
326203,644,4
326203,84,4
326358,722,1
326439,1488,5
328902,1101,4
328902,222,5
330717,664,1
331787,1249,5
331787,1249,5
332337,809,3
332337,84,5
332918,1626,1
334735,1394,4
334738,347,3
335159,1652,4
335159,1788,2
335159,1390,1
335159,72,2
335164,1489,5
335713,13,5
336472,1605,4
337064,1270,5
337064,1362,4
337064,668,4
337064,1685,4
337064,1686,5
337257,1107,5
338006,355,5
338926,1493,4
340648,1103,5
341432,1300,5
341490,1106,4
341490,1730,4
341504,85,5
341686,1788,5
341887,1265,5
341887,1260,5
342771,240,1
342771,1304,5
343825,1256,3
344846,1107,4
345250,1261,4
347873,1102,3
349642,451,5
349642,1104,5
349642,1550,5
349642,454,4
350727,1289,5
351156,1300,4
351156,1290,5
351220,86,3
351345,459,4
351345,1491,1
351523,902,5
352650,1605,4
352690,1416,5
353086,1103,5
353825,1362,5
354275,1248,5
354275,71,5
354799,1729,5
354838,1104,4
354838,1098,5
354845,1586,2
355071,1491,4
356443,617,5
356821,653,5
357331,1753,3
357559,1102,2
358011,26,2
358807,61,5
360279,232,5
361486,1108,4
362378,595,3
362378,4,2
362378,1707,5
363540,226,4
363540,226,4
363794,272,3
363866,1212,2
363889,1103,5
364166,368,5
366637,1406,5
368355,71,4
368355,99,2
368355,663,5
368355,1098,4
368355,1492,5
368384,1103,4
369168,1730,1
369357,1103,5
370903,1377,5
370987,1103,4
371156,1419,3
371748,1256,5
371748,1659,4
371748,1659,4
371938,1209,3
371938,1209,3
371938,536,4
371938,1260,5
372056,1722,5
372163,79,4
372163,658,5
372163,659,5
372163,659,5
372163,659,5
372888,1573,1
373244,174,4
373244,615,2
374005,240,5
374234,87,5
375485,1586,3
375646,61,3
377524,1492,3
377894,1098,5
378149,1426,5
378149,1725,5
379573,1098,5
379822,644,4
379822,1102,5
379822,1103,5
379822,1685,2
380091,83,3
380091,651,5
