7543,647740,1493,4
7809,647327,1098,2
7553,646778,1723,4
7461,646492,328,5
7464,645824,1650,4
7699,645757,674,3
7474,645609,81,5
7475,645609,306,5
7631,645598,1492,5
7677,642939,821,5
7555,642836,538,5
7303,641265,1759,5
7313,640599,1685,4
7269,640193,104,5
7272,640193,85,5
7738,640085,85,5
7827,640085,1590,5
7323,639557,1496,4
7301,639464,1245,1
7346,639464,1556,4
7318,639457,1784,5
7277,639293,1489,5
7264,639222,11,5
7423,638280,1505,5
7338,637863,1729,5
7305,637777,94,5
7750,637541,1941,5
7161,636975,1518,5
7213,636849,356,3
7359,636805,1586,5
7730,636635,1728,5
7587,636024,1830,3
7164,635825,1562,5
7582,635440,1687,5
7138,635039,12,4
7074,634769,1565,5
7095,634722,1654,4
7075,634296,823,4
7179,634296,240,4
7196,634296,1753,4
7726,633953,1493,5
7727,633953,1106,2
7728,633953,1639,2
7532,633834,1605,2
7567,633834,356,4
7576,633834,1375,3
7156,633810,1754,5
7803,633322,1609,5
7064,633117,1628,5
7400,633117,1252,4
7093,633032,74,5
7189,632419,1687,3
7096,631801,1325,4
7097,631801,1325,4
7098,631801,1325,4
7282,631754,1492,5
7192,631463,1722,4
7358,630985,357,5
7607,630985,4,5
7041,630912,1587,3
7371,630633,360,5
7187,630369,539,4
6965,630244,1247,3
7276,630211,147,3
6939,629979,1608,5
6941,629979,1492,5
6983,629535,454,5
7715,629488,1293,4
6785,629238,1246,4
7539,629238,326,4
6764,629224,1098,5
6758,629216,1604,5
7178,629216,1604,5
7581,628706,1608,5
7554,628313,2,4
7056,628294,1107,4
7693,627464,1100,2
7252,626780,82,5
6749,626740,1727,4
7122,625854,240,5
6793,625239,1107,5
7523,624985,678,5
7526,624985,622,1
7527,624985,622,1
7528,624985,622,1
7805,624907,99,4
6904,624886,1602,2
7063,624636,8,4
6699,624321,1730,3
6856,624300,1754,4
7375,624095,1722,5
7376,624095,1760,5
7352,623437,1786,4
7007,623347,540,4
7014,623347,1590,4
7570,623325,237,1
7158,623237,237,5
7255,622882,1473,5
7162,622846,1256,4
6679,622699,499,4
7306,622670,1728,4
6698,622401,459,3
7413,622341,84,5
6753,622118,1267,5
7069,621264,1719,5
7723,621020,1245,5
7028,620679,1098,4
7747,620289,1300,2
6839,619942,1413,5
6617,619564,661,4
7608,619110,1858,5
7784,619034,357,5
7799,619034,354,2
7800,619034,240,5
7801,619034,1209,5
7834,619034,357,5
7038,618972,1370,4
6624,618565,1214,4
6829,618154,691,5
6763,617946,1243,4
6861,617688,690,5
6799,617615,1261,5
6551,616430,819,5
7348,616425,1775,5
